ip范围	位置
202.120.57.93	上海交通大学闵行校区图书馆本科生阅览室蓝牌 93
202.120.57.94	上海交通大学闵行校区图书馆本科生阅览室蓝牌 94
202.120.57.95	上海交通大学闵行校区图书馆本科生阅览室蓝牌 95
202.120.57.96	上海交通大学闵行校区图书馆本科生阅览室蓝牌 96
202.120.57.97	上海交通大学闵行校区图书馆本科生阅览室蓝牌 97
202.120.57.98-202.120.57.100	上海交通大学闵行校区 图书馆
202.120.57.101	上海交通大学闵行校区图书馆本科生阅览室红牌 1
202.120.57.102	上海交通大学闵行校区图书馆本科生阅览室红牌 2
202.120.57.103	上海交通大学闵行校区图书馆本科生阅览室红牌 3
202.120.57.104	上海交通大学闵行校区图书馆本科生阅览室红牌 4
202.120.57.105	上海交通大学闵行校区图书馆本科生阅览室红牌 5
202.120.57.106	上海交通大学闵行校区图书馆本科生阅览室红牌 6
202.120.57.107	上海交通大学闵行校区图书馆本科生阅览室红牌 7
202.120.57.108	上海交通大学闵行校区图书馆本科生阅览室红牌 8
202.120.57.109	上海交通大学闵行校区图书馆本科生阅览室红牌 9
202.120.57.110	上海交通大学闵行校区图书馆本科生阅览室红牌 10
202.120.57.111	上海交通大学闵行校区图书馆本科生阅览室红牌 11
202.120.57.112	上海交通大学闵行校区图书馆本科生阅览室红牌 12
202.120.57.113	上海交通大学闵行校区图书馆本科生阅览室红牌 13
202.120.57.114	上海交通大学闵行校区图书馆本科生阅览室红牌 14
202.120.57.115	上海交通大学闵行校区图书馆本科生阅览室红牌 15
202.120.57.116	上海交通大学闵行校区图书馆本科生阅览室红牌 16
202.120.57.117	上海交通大学闵行校区图书馆本科生阅览室红牌 17
202.120.57.118	上海交通大学闵行校区图书馆本科生阅览室红牌 18
202.120.57.119	上海交通大学闵行校区图书馆本科生阅览室红牌 19
202.120.57.120	上海交通大学闵行校区图书馆本科生阅览室红牌 20
202.120.57.121	上海交通大学闵行校区图书馆本科生阅览室红牌 21
202.120.57.122	上海交通大学闵行校区图书馆本科生阅览室红牌 22
202.120.57.123	上海交通大学闵行校区图书馆本科生阅览室红牌 23
202.120.57.124	上海交通大学闵行校区图书馆本科生阅览室红牌 24
202.120.57.125	上海交通大学闵行校区图书馆本科生阅览室红牌 25
202.120.57.126-202.120.57.150	上海交通大学闵行校区 图书馆
202.120.57.151	上海交通大学闵行校区图书馆本科生阅览室红牌 1
202.120.57.152	上海交通大学闵行校区图书馆本科生阅览室红牌 2
202.120.57.153	上海交通大学闵行校区图书馆本科生阅览室红牌 3
202.120.57.154	上海交通大学闵行校区图书馆本科生阅览室红牌 4
202.120.57.155	上海交通大学闵行校区图书馆本科生阅览室红牌 5
202.120.57.156	上海交通大学闵行校区图书馆本科生阅览室红牌 6
202.120.57.157	上海交通大学闵行校区图书馆本科生阅览室红牌 7
202.120.57.158	上海交通大学闵行校区图书馆本科生阅览室红牌 8
202.120.57.159	上海交通大学闵行校区图书馆本科生阅览室红牌 9
202.120.57.160	上海交通大学闵行校区图书馆本科生阅览室红牌 10
202.120.57.161	上海交通大学闵行校区图书馆本科生阅览室红牌 11
202.120.57.162	上海交通大学闵行校区图书馆本科生阅览室红牌 12
202.120.57.163	上海交通大学闵行校区图书馆本科生阅览室红牌 13
202.120.57.164	上海交通大学闵行校区图书馆本科生阅览室红牌 14
202.120.57.165	上海交通大学闵行校区图书馆本科生阅览室红牌 15
202.120.57.166	上海交通大学闵行校区图书馆本科生阅览室红牌 16
202.120.57.167	上海交通大学闵行校区图书馆本科生阅览室红牌 17
202.120.57.168	上海交通大学闵行校区图书馆本科生阅览室红牌 18
202.120.57.169	上海交通大学闵行校区图书馆本科生阅览室红牌 19
202.120.57.170	上海交通大学闵行校区图书馆本科生阅览室红牌 20
202.120.57.171	上海交通大学闵行校区图书馆本科生阅览室红牌 21
202.120.57.172	上海交通大学闵行校区图书馆本科生阅览室红牌 22
202.120.57.173	上海交通大学闵行校区图书馆本科生阅览室红牌 23
202.120.57.174	上海交通大学闵行校区图书馆本科生阅览室红牌 24
202.120.57.175	上海交通大学闵行校区图书馆本科生阅览室红牌 25
202.120.57.176	上海交通大学闵行校区图书馆本科生阅览室红牌 26
202.120.57.177	上海交通大学闵行校区图书馆本科生阅览室红牌 27
202.120.57.178	上海交通大学闵行校区图书馆本科生阅览室红牌 28
202.120.57.179	上海交通大学闵行校区图书馆本科生阅览室红牌 29
202.120.57.180	上海交通大学闵行校区图书馆本科生阅览室红牌 30
202.120.57.181	上海交通大学闵行校区图书馆本科生阅览室红牌 31
202.120.57.182	上海交通大学闵行校区图书馆本科生阅览室红牌 32
202.120.57.183	上海交通大学闵行校区图书馆本科生阅览室红牌 33
202.120.57.184	上海交通大学闵行校区图书馆本科生阅览室红牌 34
202.120.57.185	上海交通大学闵行校区图书馆本科生阅览室红牌 35
202.120.57.186	上海交通大学闵行校区图书馆本科生阅览室红牌 36
202.120.57.187	上海交通大学闵行校区图书馆本科生阅览室红牌 37
202.120.57.188	上海交通大学闵行校区图书馆本科生阅览室红牌 38
202.120.57.189	上海交通大学闵行校区图书馆本科生阅览室红牌 39
202.120.57.190	上海交通大学闵行校区图书馆本科生阅览室红牌 40
202.120.57.191	上海交通大学闵行校区图书馆本科生阅览室红牌 41
202.120.57.192	上海交通大学闵行校区图书馆本科生阅览室红牌 42
202.120.57.193	上海交通大学闵行校区图书馆本科生阅览室红牌 43
202.120.57.194	上海交通大学闵行校区图书馆本科生阅览室红牌 44
202.120.57.195	上海交通大学闵行校区图书馆本科生阅览室红牌 45
202.120.57.196	上海交通大学闵行校区图书馆本科生阅览室红牌 46
202.120.57.197	上海交通大学闵行校区图书馆本科生阅览室红牌 47
202.120.57.198	上海交通大学闵行校区图书馆本科生阅览室红牌 48
202.120.57.199	上海交通大学闵行校区图书馆本科生阅览室红牌 49
202.120.57.200	上海交通大学闵行校区图书馆本科生阅览室红牌 50
202.120.57.201-202.120.57.219	上海交通大学闵行校区 图书馆
202.120.57.220	上海交通大学闵行校区 图书馆研究生阅览室
202.120.57.221-202.120.57.255	上海交通大学闵行校区 图书馆
202.120.58.0-202.120.58.255	上海交通大学闵行校区
202.120.59.0-202.120.59.255	上海交通大学闵行校区 计算中心
202.120.60.0-202.120.60.255	上海交通大学闵行校区 外语楼
202.120.61.0-202.120.61.140	上海交通大学闵行校区 逸夫科技馆
202.120.61.141	上海交通大学闵行校区 铁生馆
202.120.61.142-202.120.61.255	上海交通大学闵行校区 逸夫科技馆
202.120.62.0-202.120.62.238	上海交通大学闵行校区
202.120.62.239	上海交通大学闵行校区 文选楼232医学院办公室
202.120.62.240-202.120.63.255	上海交通大学闵行校区
202.120.131.0-202.120.131.9	上海交通大学上海第二医学院 中山南一路园区
202.120.131.10	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.11-202.120.131.18	上海交通大学上海第二医学院 中山南一路园区
202.120.131.19-202.120.131.20	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.21-202.120.131.98	上海交通大学上海第二医学院 中山南一路园区
202.120.131.99-202.120.131.100	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.101-202.120.131.108	上海交通大学上海第二医学院 中山南一路园区
202.120.131.109	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.110-202.120.131.134	上海交通大学上海第二医学院 中山南一路园区
202.120.131.135	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.136-202.120.131.169	上海交通大学上海第二医学院 中山南一路园区
202.120.131.170	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.171-202.120.131.173	上海交通大学上海第二医学院 中山南一路园区
202.120.131.174	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.175	上海交通大学上海第二医学院 中山南一路园区
202.120.131.176	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.177-202.120.131.179	上海交通大学上海第二医学院 中山南一路园区
202.120.131.180	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.181	上海交通大学上海第二医学院 中山南一路园区
202.120.131.182-202.120.131.183	上海交通大学上海第二医学院 中山南一路园区东楼
202.120.131.184-202.120.131.185	上海交通大学上海第二医学院 中山南一路园区
202.120.131.186	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.187-202.120.131.192	上海交通大学上海第二医学院 中山南一路园区
202.120.131.193	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.194-202.120.131.199	上海交通大学上海第二医学院 中山南一路园区
202.120.131.200	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.201-202.120.131.218	上海交通大学上海第二医学院 中山南一路园区
202.120.131.219	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.220-202.120.131.225	上海交通大学上海第二医学院 中山南一路园区
202.120.131.226	上海交通大学上海第二医学院 中山南一路园区西楼
202.120.131.227-202.120.131.255	上海交通大学上海第二医学院 中山南一路园区
202.120.132.0-202.120.132.255	上海交通大学上海第二医学院 合肥路女生公寓
202.120.133.0-202.120.133.255	上海交通大学上海第二医学院 嘉宾楼
202.120.134.0-202.120.134.255	上海交通大学上海第二医学院 留学生楼
202.120.136.0-202.120.136.255	上海交通大学上海第二医学院 嘉宾楼
202.120.139.0-202.120.139.255	上海交通大学上海第二医学院 西区
202.120.142.0-202.120.142.255	上海交通大学 本部
202.120.143.0-202.120.143.255	上海交通大学上海第二医学院 图书馆
202.120.202.0-202.120.203.255	上海市 上海交通大学
202.121.176.0-202.121.179.255	上海交通大学七宝校区 上海农学院
202.121.180.0-202.121.180.80	上海交通大学七宝校区 第1宿舍
202.121.180.81-202.121.180.160	上海交通大学七宝校区 第3宿舍
202.121.180.161-202.121.180.240	上海交通大学七宝校区 第2宿舍
202.121.180.241-202.121.180.255	上海交通大学七宝校区
202.121.181.0-202.121.181.127	上海交通大学七宝校区 第4宿舍
202.121.181.128-202.121.181.255	上海交通大学七宝校区
202.121.182.0-202.121.182.240	上海交通大学七宝校区 第6宿舍
202.121.182.241-202.121.182.255	上海交通大学七宝校区
202.121.183.0-202.121.183.255	上海交通大学七宝校区 农学院
211.80.30.0-211.80.31.255	上海交通大学
211.80.32.0-211.80.34.63	上海交通大学 研一楼
211.80.34.64-211.80.34.128	上海交通大学 研二楼
211.80.34.129-211.80.34.205	上海交通大学 3号楼1-2楼
211.80.34.206	上海交通大学 2号楼1709室
211.80.34.207-211.80.34.255	上海交通大学 3号楼1-2楼
211.80.35.0-211.80.36.255	上海交通大学 研二楼
211.80.37.0-211.80.37.110	上海交通大学 3号楼1-2楼
211.80.37.111	上海交通大学 研究生3号楼414
211.80.37.112-211.80.37.158	上海交通大学 3号楼1-2楼
211.80.37.159	上海交通大学 研3号楼409
211.80.37.160-211.80.37.167	上海交通大学 3号楼1-2楼
211.80.37.168	上海交通大学 3号楼6楼
211.80.37.169-211.80.37.255	上海交通大学 3号楼1-2楼
